TIPO DE USO,CLASE DE FUENTE,CUENCA,CÓDIGO DE CUENCA,DISPONIBILIDAD HÍDRICA,AUTORIDAD LOCAL DEL AGUA (ALA),AUTORIDAD ADMINISTRATIVA DEL AGUA (AAA),DEPARTAMENTO,PROVINCIA,DISTRITO,RAZÓN SOCIAL,N DE RUC,VIGENTE EN REGISTRO DE LA ANA,TIPO DE PERMISO,TIPO DE FUENTE DE AGUA,NOMBRE DE LA FUENTE DE AGUA,N° DE RESOLUCIÓN
Minero,Superficial,Cuenca Camaná,134,Alta,Camaná Majes,Caplina Ocoña,Arequipa,Condesuyos,Cayarani,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Río,Huamanihuayta,0018-2010
Poblacional,Superficial,Cuenca Camaná,134,Alta,Camaná Majes,Caplina Ocoña,Arequipa,Condesuyos,Cayarani,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Río,Huamanihuayta,0018-2010
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Corire,0045-2010
Poblacional,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Puquial,Patillpujo,0045-2010
Poblacional,Superficial,Cuenca Alto Huallaga,49849,Alta,Pasco,Mantaro,Pasco,Daniel Alcides Carrion,Yanahuanca,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Bofedal,Curucuta,0066-2010
Minero,Superficial,Cuenca Alto Huallaga,49849,Alta,Pasco,Mantaro,Pasco,Daniel Alcides Carrion,Yanahuanca,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Bofedal,Curucuta,0067-2010
Minero,Superficial,Cuenca Alto Huallaga,49849,Alta,Pasco,Mantaro,Pasco,Daniel Alcides Carrion,Yanahuanca,Compañía de Minas Buenaventura S.A.A.,20100079501,SI,Licencia,Laguna,Morococha,0067-2010
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Coalaque,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Licencia,Quebrada,Yanapuquio,0093-2010
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Coalaque,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Licencia,Quebrada,Jampiyacu,0093-2010
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Ojo Chaje,0102-2010
Minero,Superficial,Cuenca Tambo,1318,Alta,Tambo Alto Tambo,Caplina Ocoña,Moquegua,General Sanchez Cerro,Ichuña,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Chaje,0102-2010
Minero,Superficial,Cuenca Pativilca,13758,Alta,Barranca,Cañete Fortaleza,Lima,Cajatambo,Gorgor,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Auquin,0123-2010
Minero,Superficial,Cuenca Ocoña,136,Media,Chaparra Acari,Chaparra Chincha,Ayacucho,Parinacochas,Chumpi,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Llamantana,0130-2010
Otros usos,Superficial,Cuenca Alto Huallaga,49849,Alta,Pasco,Mantaro,Pasco,Daniel Alcides Carrion,Yanahuanca,Compañía de Minas Buenaventura S.A.A.,20100079501,NO,Autorización,Quebrada,Rojas Majada,0004-2010
